Account_ID,Name,Display_Name,Type,City,State,Phone,Email,OMS_Requests,Booked,Declined,Expired,Book_Rate,Last_Request_Date,Last_Booked_Date
0011K00002JJkEmQAL,DOZR Ltd.,DOZR Ltd.,Rental House/Dealer,Tampa,Florida,18337746320,equipment@dozr.com,162,0,0,0,0.0%,2026-02-16,
0011K00002JJXvjQAH,Aerial Plus - Burlington ON,Aerial Plus ,Rental House/Dealer,Burlington,Ontario,+19053339580,aerialplus@bellnet.ca,110,39,20,0,35.5%,2026-02-17,2026-02-16
673fa1c1476a080018c3bb1b,Texas,,Rental House/Dealer,,Texas,18337746320,,101,0,0,0,0.0%,2026-02-16,
0011K00002RfsRvQAJ,Stoney Creek Equipment Rentals - Hamilton ON,,Rental House/Dealer,Hamilton,ON,9056430075,pgentile@stoneycreekrents.com,90,12,20,5,13.3%,2026-02-17,2026-02-13
673fa17b476a080018c3a775,California,,Rental House/Dealer,,California,18337746320,,66,0,0,0,0.0%,2026-02-13,
0014100001AASKmAAP,Stanmore Equipment - Uxbridge ON,Stanmore Equipment,Rental House/Dealer,Uxbridge,Ontario,8559555438,info@stanmoreequipment.com,65,0,0,10,0.0%,2026-02-17,
673fa181476a080018c3a907,Florida,,Rental House/Dealer,,Florida,18337746320,,60,0,0,0,0.0%,2026-02-16,
001OJ000009zMJQYA2,NAM Rentals - Toronto ON,,Rental House/Dealer,Toronto,Ontario,6475257368,,59,5,5,7,8.5%,2026-02-17,2026-01-28
0011K00002ROpsKQAT,Best Rental Services Inc - Vaughan ON,,Rental House/Dealer,Vaughan,Ontario,9053033900,ewillers@bestrental.ca,57,2,3,4,3.5%,2026-02-17,2026-02-12
0014100001V6URwAAN,Stephenson's Rental Services - Mississauga ON (HQ),Stephenson`s Rental Services,Rental House/Dealer,Mississauga,Ontario,+18669464646,ofg@stephensons.ca,57,0,1,10,0.0%,2026-02-17,
6894c7c7cb18fa0018c82e27,Atmosphere Rental Inc - Cambridge ON,,Rental House/Dealer,Cambridge,Ontario,15192425767,bstranz@atmosphererentals.com,55,1,0,10,1.8%,2026-02-16,2025-12-17
00141000012HIj9AAG,GTA Equipment Rentals - Oakville ON,GTA Equipment Rentals,Rental House/Dealer,Oakville,Ontario,+19055807368,megan@gtaequipment.ca,53,1,18,0,1.9%,2026-02-17,2025-12-09
0011K00002G2cm8QAB,DOZR Rental House Inc.,DOZR Inc.,Rental House/Dealer,,,(226) 749-3887,equipment@dozr.com,45,0,0,0,0.0%,2026-02-16,
0014100000ANDnDAAX,Dickie Moore Rentals - Toronto ON,Dickie Moore Rentals,Partner,Toronto,Ontario,4167471212,,36,0,1,3,0.0%,2026-02-12,
001OJ000005JczaYAC,True Canada Equipment - Vaughan ON,,Rental House/Dealer,Vaughan,Ontario,9057718508,,35,0,1,5,0.0%,2026-02-17,
0014100000BlnFxAAJ,CONEQ Rentals - Woodbridge ON,CONEQ Rentals,Rental House/Dealer,Vaughan,Ontario,8445526637,rental@coneqrentals.com,35,10,2,4,28.6%,2026-02-16,2026-02-14
0011K00002RMRD9QAP,Continental Lift Truck - New York NY,,Contractor,,New York,6465294432,joed.continental@gmail.com,35,22,4,0,62.9%,2026-02-12,2026-02-12
0014100000ANCcsAAH,Barrie Rent-All Inc - Barrie ON,Barrie Rent,Rental House/Dealer,Barrie,Ontario,7057288585,,32,0,0,2,0.0%,2026-02-12,
0011K00002KARq9QAH,Powertrip Rentals - Signal Hill CA,Powertrip Rentals,Rental House/Dealer,Signal Hill,California,+13102920974,evan@powertriprentals.com,31,15,3,3,48.4%,2026-02-13,2026-02-13
0011K00002FXVgTQAX,Torcan Lift Equipment - North York ON,Torcan Lift Equipment,Rental House/Dealer,North York,Ontario,4167432500,rentals@torcanlift.com,30,0,1,4,0.0%,2026-02-17,
0014100000gdnTDAAY,RI-GO Lift Truck Ltd - Concord ON,"RI GO LIFT TRUCK LTD - CONCORD, ON",Rental House/Dealer,CONCORD,Ontario,4162137277,jparmar@rigolift.com,30,0,1,4,0.0%,2026-02-17,
67eac2da29fd54002239e1cb,Equipment Share,,N/A,,,17206100062,chad.berreth@equipmentshare.com,28,25,1,1,89.3%,2026-02-16,2026-02-10
