Order Number,Supplier,Equipment Type,Order Date,Rental Start,Rental End,Estimated Total,Source
3C4XUK3,"Equipment Share","Custom/Other",2026-02-10,2026-02-11,2026-02-18,572,Graham
PWUU9TW,"Equipment Share - West Palm Beach (Lake Worth) FL","Excavator, 15 ton+",2026-02-10,2026-02-12,2026-02-13,709,Graham
2TWB2UF,"Warren Cat - Abilene TX","Telehandler Reach Forklift, 5000 lbs, 15 - 19 ft",2026-02-10,2026-02-10,2026-02-11,550,Graham
SY5RDLQ,"Sunbelt Rentals 60 - Jacksonville, FL","Electric Scissor Lift, 40 ft (Indoor Use Only)",2026-02-09,2026-02-13,2026-02-14,322,Graham
UVVXP52,"Equipment Share","Excavator, 15 ton+",2026-02-06,2026-02-10,2026-02-17,2048,Graham
UBPAHZB,"Sunbelt Rentals 1018 - Manheim, PA","Articulating Boom Lift, 80 ft, Dual Fuel/Diesel",2026-02-06,2026-02-09,2026-02-16,2209,Graham
4D8TVLL,"C & B Material Handling - Hiawatha IA","Electric Scissor Lift, 19 ft (Indoor Use Only)",2026-02-06,2026-02-09,2026-02-11,325,Graham
7CTDUKA,"All Pro Lift and Equipment LLC - Phoenix AZ","Electric Scissor Lift, 19 ft (Indoor Use Only)",2026-02-06,2026-02-10,2026-02-11,73.14,System Process
Q4R5VBL,"Equipment Share - Indianapolis IN","Electric Scissor Lift, 26 ft (Indoor Use Only)",2026-02-05,2026-02-09,2026-02-10,253,Graham
X3VHGSC,"Herc Rentals (9316) - Myrtle Beach SC","Custom/Other",2026-02-05,2026-02-06,2026-02-13,1129,Graham
7CLEUP5,"Aerial Plus - Burlington ON","Electric Scissor Lift, 19 ft (Indoor Use Only)",2026-02-05,2026-02-06,2026-02-13,228.57,System Process
RR4PGVZ,"Aerial Plus - Burlington ON","Electric Scissor Lift, 19 ft (Indoor Use Only)",2026-02-05,2026-02-06,2026-02-13,228.57,System Process
YXTVCFL,"Equipment Share","Custom/Other",2026-02-04,2026-02-11,2026-02-18,3341,Graham
RLSFJJD,"Equipment Share","Telehandler Reach Forklift, 12000 lbs, 55 - 56 ft",2026-02-04,2026-02-12,2026-02-19,2846,Graham
ZV3GZL3,"LAX Equipment Inc - Inglewood CA","Cushion Tire Forklift, 15,000 lbs (Indoor Use Only)",2026-02-04,2026-02-04,2026-02-05,425,Graham
8DJCQ8D,"Sunstate Equipment - Charleston SC","Electric Scissor Lift, 26 ft (Indoor Use Only)",2026-02-04,2026-02-05,2026-02-12,370,Graham
AE9UXSB,"Equipment Share - North Palm Springs CA","Electric Scissor Lift, 26 ft (Indoor Use Only)",2026-02-04,2026-02-04,2026-02-10,507,Graham
GC3WVBE,"Equipment Share - Texarkana AR","Electric Scissor Lift, 26 ft (Indoor Use Only)",2026-02-03,2026-02-03,2026-02-10,375,Graham
HRS7ADP,"Equipment Share - Texarkana AR","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2026-02-03,2026-02-03,2026-02-10,1134,Graham
86SRFY9,"Yancey Cat - Augusta GA","Telehandler Reach Forklift, 8000 lbs, 41 - 43 ft",2026-02-03,2026-02-04,2026-02-05,700,Graham
KSVRYG3,"Renegade Rentals LLC - Brigham City UT","Electric Scissor Lift, 26 ft (Indoor Use Only)",2026-02-03,2026-02-16,2026-02-22,440,Graham
HLSCR9H,"Equipment Share","Telehandler Reach Forklift, 10000 lbs, 50 - 56 ft",2026-02-02,2026-02-02,2026-02-08,2435,Graham
9ETRL4P,"Lift X Rentals - Palmetto FL","Articulating Boom Lift, 60 ft, Dual Fuel/Diesel",2026-02-02,2026-02-09,2026-02-15,785.73,System Process
K6EA9D4,"Sunbelt Rentals 293 - Bangor, ME","Custom/Other",2026-02-02,2026-02-06,2026-02-07,575,Graham
DA8QVB9,"Sunbelt Rentals 293 - Bangor, ME","Custom/Other",2026-02-02,2026-02-06,2026-02-07,47,Graham
9B83FWE,"CONEQ Rentals - Woodbridge ON","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2026-02-02,2026-02-05,2026-02-06,361.9,System Process
XQD77ZR,"CONEQ Rentals - Woodbridge ON","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2026-02-02,2026-02-06,2026-02-07,361.9,System Process
UJTFBC4,"Sunbelt Rentals - North Haven, CT","Excavator, 13 ton+",2026-02-02,2026-02-03,2026-02-10,2060,Graham
34XVRD8,"Equipment Share","Telehandler Reach Forklift, 12000 lbs, 55 - 56 ft",2026-01-30,2026-01-30,2026-02-06,2815,Graham
