Order Number,Supplier,Equipment Type,Order Date,Rental Start,Rental End,Estimated Total
RXWXZ83,"Sunstate Equipment - Raleigh (Garner) NC","Tracked Skid Steer, 1700 lbs",2026-02-11,2026-02-12,2026-02-13,430
DW7SDB8,"Sunstate Equipment - Tucson AZ","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2026-02-11,2026-02-16,2026-02-17,200
UYH3BTT,"Sunstate Equipment - Nashville TN","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2026-02-11,2026-02-16,2026-02-20,500
YQB9XF3,"Skyblack Rentals - Houston TX","Electric Scissor Lift, 19 ft (Indoor Use Only)",2026-02-11,2026-02-11,2026-02-12,114.1
WJ5A447,"Brandt Material Handling - Calgary AB","Cushion Tire Forklift, 15,000 lbs (Indoor Use Only)",2026-02-10,2026-02-11,2026-02-12,600
WGJ6XJU,"Tejas Equipment Rental - San Marcos TX","Electric Scissor Lift, 19 ft (Indoor Use Only)",2026-02-10,2026-02-14,2026-03-14,397
CAH73K4,"Beck Equipment Inc - Preble NY","Telehandler Reach Forklift, 12000 lbs, 55 - 56 ft",2026-02-10,2026-02-14,2026-02-15,385
FQSSGRV,"Total Rental - Phoenixville PA","Custom/Other",2026-02-10,2026-02-11,2026-02-18,314
3C4XUK3,"Equipment Share","Custom/Other",2026-02-10,2026-02-11,2026-02-18,572
PWUU9TW,"Equipment Share - West Palm Beach (Lake Worth) FL","Excavator, 15 ton+",2026-02-10,2026-02-12,2026-02-13,709
EYB3CQW,"Sun Rental & Sales - Yuma, AZ","Rough Terrain Scissor Lift, 32 ft",2026-02-10,2026-02-11,2026-02-12,160
BKK94RZ,"Toyota Lift of South Texas (Doggett Machinery) - Austin TX","Custom/Other",2026-02-10,2026-02-10,2026-02-17,775
DL28JXK,"Western States Cat - Hayden ID","Towable Boom Lift, 50 ft",2026-02-10,2026-02-10,2026-02-11,300
2TWB2UF,"Warren Cat - Abilene TX","Telehandler Reach Forklift, 5000 lbs, 15 - 19 ft",2026-02-10,2026-02-10,2026-02-11,550
CC46D63,"South Florida Equipment Rentals - West Palm Beach FL","Articulating Boom Lift, 60 ft, Dual Fuel/Diesel",2026-02-10,2026-02-10,2026-02-17,1085
WX72UF2,"A Tool Shed Rentals, Inc - Santa Clara CA","Articulating Boom Lift, 60 ft, Dual Fuel/Diesel",2026-02-09,2026-02-10,2026-02-13,1339
SY5RDLQ,"Sunbelt Rentals 60 - Jacksonville, FL","Electric Scissor Lift, 40 ft (Indoor Use Only)",2026-02-09,2026-02-13,2026-02-14,322
E73XLJC,"LGP Equipment Rentals - Bell Gardens CA","Articulating Boom Lift, 80 ft, Dual Fuel/Diesel",2026-02-09,2026-02-09,2026-02-11,1900
7SCWLQK,"Sunstate Equipment - Conley GA","Electric Scissor Lift, 26 ft (Indoor Use Only)",2026-02-09,2026-02-09,2026-02-16,370
Q7RDAKE,"Aerial Plus - Burlington ON","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2026-02-09,2026-02-10,2026-02-17,416
TBSKSC2,"Powertrip Rentals - Signal Hill CA","Electric Scissor Lift, 26 ft (Indoor Use Only)",2026-02-07,2026-02-07,2026-02-13,375
FRQZERX,"Frank's Supply Company - Albuquerque NM","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2026-02-07,2026-02-09,2026-02-10,355.8
