Rank,Supplier,Email,Phone,Manual Bookings,Last Booked,Email Source
1,"Equipment Share","chad.berreth@equipmentshare.com","17206100062",25,2026-02-10,primary
2,"Need a Lift Rentals - Fort Lauderdale FL","staceyt@oakconstruction.com","19546185438",3,2026-01-13,primary
3,"Herc Rentals (9316) - Myrtle Beach SC","sam.porter1@hercrentals.com","843-236-2369",3,2026-02-05,primary
4,"Rent City of Altus Inc - Atlus, OK","rentcityaltusinc@gmail.com","+15804822134",2,2025-11-12,primary
5,"HTX Material Handling - Houston TX","mtweedie@htxforklifts.com","9374510624",2,2025-11-21,primary
6,"Sunbelt Rentals 293 - Bangor, ME","pcm293@sunbeltrentals.com","(207) 945-5635",2,2026-02-02,primary
7,"Strobel's Rentals - East Side Great Falls MT","strobels.rentals@yahoo.com","8008817244",2,2025-12-19,contacts
8,"Great Rate Rentals - South Windsor CT","MISSING","8602897821",2,2025-12-17,missing
9,"Equipment Share - Texarkana AR","MISSING","+18703304920",2,2026-02-03,missing
10,"The Rental Guys - Calgary AB","MISSING","+14038059724",1,2025-11-19,missing
11,"Jersey Rents & Equipment Sales - Old Bridge, NJ","tkozo@jerseyrents.com","+17325912088",1,2026-01-21,primary
12,"GTA Equipment Rentals - Oakville ON","megan@gtaequipment.ca","+19055807368",1,2025-12-09,primary
13,"Equipment Share - North Palm Springs CA","MISSING","+14422121621",1,2026-02-04,missing
14,"MacAllister Rentals - Fort Wayne IN","MISSING","+12609693322",1,2026-01-08,missing
15,"Equipment Share - Fort Worth (South) TX","eddie.parsons@equipmentshare.com","16825405013",1,2026-01-05,primary
16,"Sunbelt Rentals - North Haven, CT","lizette.figueroa-alvarado@sunbeltrentals.com","+12039744757",1,2026-02-02,primary
17,"Skye Heavy Equipment Rentals - Asheboro NC","MISSING","+13369631831",1,2026-01-08,missing
18,"Best Rental Centers Inc - Altamonte Springs FL","info@bestrentalcenter.com","4078312378",1,2025-12-18,primary
19,"Central Power of St Louis MO - Maryland Heights MO","bailey.denny@cpower.com","3144274911",1,2025-12-15,primary
20,"H&C Rents - Murfreesboro, TN","hallen@hcrents.com","+16155642477",1,2025-11-20,primary
21,"Yancey Cat - Augusta GA","yanceyleads@yanceybros.com","7067901300",1,2026-02-03,primary
22,"Oak Grove Rentals  - Oak Grove MO","MISSING","+18166906800",1,2025-12-18,missing
23,"J-AAR Excavating Limited","info@aaroc.com","(519) 652-2104",1,2025-11-18,primary
24,"Warren Cat - Abilene TX","tavis.ross@warrencat.com","325-691-8356",1,2026-02-10,primary
25,"Everjoy Rent All Co - Detroit MI","everjoyr@aol.com","3138463130",1,2026-01-21,primary
26,"Sunbelt Rentals 60 - Jacksonville, FL","pcm060@sunbeltrentals.com","(904) 781-4156",1,2026-02-09,primary
27,"Equipment Share - West Palm Beach (Lake Worth) FL","eddie.parsons@equipmentshare.com","5612969710",1,2026-02-10,primary
28,"St. Jacobs Property Maintenance","sj_landscaping@rogers.com","519 503 5296",1,2025-12-15,contacts
29,"Herc Rentals (9322) - Greer SC","MISSING","864-877-1806",1,2026-01-28,missing
30,"Sunstate Equipment - Fort Collins CO","dozr@sunstateequip.com","8558088875",1,2025-11-14,primary
31,"Sun Coast Rentals - Carpinteria CA","suncoastrentals@yahoo.com","8056844173",1,2025-11-13,primary
32,"Herc Rentals (9213) - Tupelo MS","MISSING","662-680-3183",1,2026-01-28,missing
33,"Blakley Equipment Inc - Mount Vernon NY","carad@blakleytree.com","9146645500",1,2025-12-15,primary
34,"C & B Material Handling - Hiawatha IA","MISSING","3193959003",1,2026-02-06,missing
35,"Carolina Containers & Transport - Raleigh NC","MISSING","+19195629187",1,2025-12-19,missing
36,"Coastal Rental Center - New Port Richey FL","susan@crcfl.com","7278476694",1,2025-11-28,contacts
37,"Rent Equip - Austin TX","ggunter@rentequipaustin.com","+15128369100",1,2025-12-09,primary
38,"Gerken Rent-All - Kansas City KS","MISSING","+19133345000",1,2025-11-14,missing
39,"Riggs Cat - Benton AR","MISSING","+15015704300",1,2026-01-15,missing
40,"Cowin Equipment Company Inc. - Birmingham, AL","cmarsh@cowin.com","2058416666",1,2025-12-11,primary
41,"MG Machinery - Buda TX","MISSING","5124569777",1,2026-01-27,missing
42,"Rental Stop - Grande Prairie TX","sales@rentalstops.com","9723360059",1,2025-11-14,primary
43,"Dobbs Equipment (John Deere) - Fort Myers FL","dave.walsh@dobbsequipment.com","239-334-3627",1,2026-01-20,contacts
44,"Smedley Aerial Lifts - Branford CT","MISSING","+12038714486",1,2026-01-19,missing
45,"Global Lions Rental Inc - Vancouver BC","MISSING","8005935359",1,2025-11-24,missing
46,"Equipment Share - Memphis TN","eddie.parsons@equipmentshare.com","16623528588",1,2026-01-14,primary
47,"Cooke Rentals - Denver NC","chad@cookerentals.com","7044832722",1,2026-01-15,contacts
48,"Equipment Share - Indianapolis IN","eddie.parsons@equipmentshare.com","14637776002",1,2026-02-05,primary
49,"Sunbelt Rentals 1018 - Manheim, PA","pcm1018@sunbeltrentals.com","(717) 492-9750",1,2026-02-06,primary
50,"Pat Kelly Equipment Company - Hazelwood MO","MISSING","+13148959500",1,2026-01-23,missing
51,"Action Lift, Inc - Leander TX","MISSING","+15122605438",1,2026-01-13,missing
52,"Herc Rentals (9423) - Springfield MO","MISSING","417-865-5561",1,2026-01-12,missing
53,"Robin Rents - Huntsville (North) AL","MISSING","+12564894994",1,2025-12-10,missing
54,"Cropac Equipment Inc","rob@cropac.com","+17809558862",1,2026-01-14,primary
55,"Sunbelt Rentals 21 - Fayetteville, NC","pcm021@sunbeltrentals.com","(910) 323-4416",1,2026-01-28,primary
56,"Durants Tool Rentals - New Windsor NY","MISSING","+18457870013",1,2025-12-17,missing
57,"Herc Rentals (9270) - Maple Grove MN","MISSING","+17633473930",1,2026-01-20,missing
58,"Discount Forklift - Dallas Fort Worth TX","MISSING","16823824088",1,2025-12-12,missing
