Campaign,Ad Group,Keyword,Criterion Type,Max CPC
Backhoe,Backhoe - General,backhoe rental,phrase,
Backhoe,Backhoe - General,backhoe rental near me,phrase,
Backhoe,Backhoe - General,backhoe rental cost,phrase,
Backhoe,Backhoe - General,backhoe loader rental,phrase,
Backhoe,Backhoe - General,construction backhoe rental,phrase,
Backhoe,Backhoe - General,rent backhoe,phrase,
Backhoe,Backhoe - General,backhoe for rent,phrase,
Backhoe,Backhoe - General,backhoe hire,phrase,
Backhoe,Backhoe - General,rent a backhoe,phrase,
Backhoe,,-canada,Negative,
Backhoe,,-jobs,Negative,
Backhoe,,-operator,Negative,
Backhoe,,-parts,Negative,
Backhoe,,-for sale,Negative,
Backhoe,,-training,Negative,
Backhoe,,-certification,Negative,
