Campaign,Ad Group,Keyword,Criterion Type,Max CPC
Brand,Brand - General,dozr,exact,
Brand,Brand - General,dozr rental,exact,
Brand,Brand - General,dozr.com,exact,
Brand,Brand - General,dozr equipment,phrase,
Brand,Brand - General,dozr equipment rental,phrase,
Brand,,-united rentals,Negative,
Brand,,-sunbelt,Negative,
Brand,,-herc,Negative,
Brand,,-home depot,Negative,
Brand,,-lowes,Negative,
Brand,,-cat rental,Negative,
Brand,,-caterpillar rental store,Negative,
Brand,,-sunbelt rentals,Negative,
Brand,,-united rentals near me,Negative,
