Campaign,Ad Group,Keyword,Criterion Type,Max CPC
Dozers,Dozers - General,large dozer rental,phrase,
Dozers,Dozers - General,heavy dozer rental,phrase,
Dozers,Dozers - General,d8 dozer rental,phrase,
Dozers,Dozers - General,d9 dozer rental,phrase,
Dozers,Dozers - General,d6 dozer rental,phrase,
Dozers,Dozers - General,cat d8 rental,phrase,
Dozers,Dozers - General,cat d9 rental,phrase,
Dozers,Dozers - General,80000 lb dozer,phrase,
Dozers,Dozers - General,100000 lb dozer,phrase,
Dozers,Dozers - General,50000 lb dozer,phrase,
Dozers,Dozers - General,dozer rental texas,phrase,
Dozers,Dozers - General,dozer rental kentucky,phrase,
Dozers,Dozers - General,bulldozer rental texas,phrase,
Dozers,Dozers - General,bulldozer rental kentucky,phrase,
Dozers,Dozers - General,dozer rental near me,phrase,
Dozers,Dozers - General,bulldozer rental near me,phrase,
Dozers,Dozers - General,dozer for rent,phrase,
Dozers,Dozers - General,bulldozer for rent,phrase,
Dozers,Dozers - General,rent a dozer,phrase,
Dozers,Dozers - General,rent a bulldozer,phrase,
Dozers,Dozers - General,dozer hire,phrase,
Dozers,Dozers - General,bulldozer hire,phrase,
Dozers,Dozers - General,land clearing dozer,phrase,
Dozers,Dozers - General,construction dozer rental,phrase,
Dozers,Dozers - General,grading dozer rental,phrase,
Dozers,Dozers - General,site prep dozer,phrase,
Dozers,Dozers - General,demolition dozer rental,phrase,
Dozers,Dozers - General,farm dozer rental,phrase,
Dozers,Dozers - General,dozer rental,phrase,
Dozers,Dozers - General,bulldozer rental,phrase,
Dozers,Dozers - General,rent dozer,phrase,
Dozers,Dozers - General,rent bulldozer,phrase,
Dozers,,-canada,Negative,
Dozers,,-canadian,Negative,
Dozers,,-jobs,Negative,
Dozers,,-hiring,Negative,
Dozers,,-career,Negative,
Dozers,,-employment,Negative,
Dozers,,-parts,Negative,
Dozers,,-for sale,Negative,
Dozers,,-buy,Negative,
Dozers,,-purchase,Negative,
Dozers,,-toy,Negative,
Dozers,,-model,Negative,
Dozers,,-miniature,Negative,
Dozers,,-blade only,Negative,
Dozers,,-attachments only,Negative,
Dozers,,-training,Negative,
Dozers,,-operator,Negative,
Dozers,,-certification,Negative,
Dozers,,-swamp dozer,Negative,
Dozers,,-forestry dozer,Negative,
Dozers,,-used equipment,Negative,
Dozers,,-equipment sales,Negative,
