Keyword,Match Type,Type
large dozer rental,Phrase,Positive
heavy dozer rental,Phrase,Positive
d8 dozer rental,Phrase,Positive
d9 dozer rental,Phrase,Positive
d6 dozer rental,Phrase,Positive
cat d8 rental,Phrase,Positive
cat d9 rental,Phrase,Positive
80000 lb dozer,Phrase,Positive
100000 lb dozer,Phrase,Positive
50000 lb dozer,Phrase,Positive
dozer rental texas,Phrase,Positive
dozer rental kentucky,Phrase,Positive
bulldozer rental texas,Phrase,Positive
bulldozer rental kentucky,Phrase,Positive
dozer rental near me,Phrase,Positive
bulldozer rental near me,Phrase,Positive
dozer for rent,Phrase,Positive
bulldozer for rent,Phrase,Positive
rent a dozer,Phrase,Positive
rent a bulldozer,Phrase,Positive
dozer hire,Phrase,Positive
bulldozer hire,Phrase,Positive
land clearing dozer,Phrase,Positive
construction dozer rental,Phrase,Positive
grading dozer rental,Phrase,Positive
site prep dozer,Phrase,Positive
demolition dozer rental,Phrase,Positive
farm dozer rental,Phrase,Positive
dozer rental,Phrase,Positive
bulldozer rental,Phrase,Positive
rent dozer,Phrase,Positive
rent bulldozer,Phrase,Positive
-canada,Negative,Negative
-canadian,Negative,Negative
-jobs,Negative,Negative
-hiring,Negative,Negative
-career,Negative,Negative
-employment,Negative,Negative
-parts,Negative,Negative
-for sale,Negative,Negative
-buy,Negative,Negative
-purchase,Negative,Negative
-toy,Negative,Negative
-model,Negative,Negative
-miniature,Negative,Negative
-blade only,Negative,Negative
-attachments only,Negative,Negative
-training,Negative,Negative
-operator,Negative,Negative
-certification,Negative,Negative
-swamp dozer,Negative,Negative
-forestry dozer,Negative,Negative
-used equipment,Negative,Negative
-equipment sales,Negative,Negative
