Campaign,Ad Group,Keyword,Criterion Type,Max CPC
Excavator,Excavator - General,excavator rental,phrase,
Excavator,Excavator - General,mini excavator rental,phrase,
Excavator,Excavator - General,compact excavator rental,phrase,
Excavator,Excavator - General,large excavator rental,phrase,
Excavator,Excavator - General,50 ton excavator,phrase,
Excavator,Excavator - General,excavator rental near me,phrase,
Excavator,Excavator - General,excavator for rent,phrase,
Excavator,Excavator - General,rent excavator,phrase,
Excavator,Excavator - General,rent mini excavator,phrase,
Excavator,Excavator - General,small excavator rental,phrase,
Excavator,,-canada,Negative,
Excavator,,-jobs,Negative,
Excavator,,-operator,Negative,
Excavator,,-parts,Negative,
Excavator,,-for sale,Negative,
Excavator,,-training,Negative,
Excavator,,-certification,Negative,
Excavator,,-toy,Negative,
