Campaign,Ad Group,Keyword,Criterion Type,Max CPC
Forklift,Forklift - General,warehouse forklift rental,phrase,
Forklift,Forklift - General,indoor forklift rental,phrase,
Forklift,Forklift - General,electric forklift rental,phrase,
Forklift,Forklift - General,pneumatic tire forklift,phrase,
Forklift,Forklift - General,cushion tire forklift,phrase,
Forklift,Forklift - General,outdoor forklift rental,phrase,
Forklift,Forklift - General,rough terrain forklift,phrase,
Forklift,Forklift - General,35000 lb forklift,phrase,
Forklift,Forklift - General,35k forklift rental,phrase,
Forklift,Forklift - General,20000 lb forklift,phrase,
Forklift,Forklift - General,20k forklift rental,phrase,
Forklift,Forklift - General,15000 lb forklift,phrase,
Forklift,Forklift - General,15k forklift rental,phrase,
Forklift,Forklift - General,large forklift rental,phrase,
Forklift,Forklift - General,small forklift rental,phrase,
Forklift,Forklift - General,forklift rental kansas,phrase,
Forklift,Forklift - General,forklift rental utah,phrase,
Forklift,Forklift - General,forklift rental indiana,phrase,
Forklift,Forklift - General,forklift rental near me,phrase,
Forklift,Forklift - General,forklift for rent,phrase,
Forklift,Forklift - General,rent a forklift,phrase,
Forklift,Forklift - General,forklift hire,phrase,
Forklift,Forklift - General,rent forklift,phrase,
Forklift,Forklift - General,construction forklift rental,phrase,
Forklift,Forklift - General,industrial forklift rental,phrase,
Forklift,Forklift - General,forklift rental,phrase,
Forklift,,-canada,Negative,
Forklift,,-jobs,Negative,
Forklift,,-training,Negative,
Forklift,,-certification,Negative,
Forklift,,-operator,Negative,
Forklift,,-parts,Negative,
Forklift,,-for sale,Negative,
Forklift,,-buy forklift,Negative,
Forklift,,-used forklift,Negative,
Forklift,,-toy,Negative,
Forklift,,-pallet jack,Negative,
Forklift,,-hand truck,Negative,
Forklift,,-hand pallet,Negative,
Forklift,,-manual,Negative,
Forklift,,-attachments only,Negative,
