Keyword,Match Type,Type
warehouse forklift rental,Phrase,Positive
indoor forklift rental,Phrase,Positive
electric forklift rental,Phrase,Positive
pneumatic tire forklift,Phrase,Positive
cushion tire forklift,Phrase,Positive
outdoor forklift rental,Phrase,Positive
rough terrain forklift,Phrase,Positive
35000 lb forklift,Phrase,Positive
35k forklift rental,Phrase,Positive
20000 lb forklift,Phrase,Positive
20k forklift rental,Phrase,Positive
15000 lb forklift,Phrase,Positive
15k forklift rental,Phrase,Positive
large forklift rental,Phrase,Positive
small forklift rental,Phrase,Positive
forklift rental kansas,Phrase,Positive
forklift rental utah,Phrase,Positive
forklift rental indiana,Phrase,Positive
forklift rental near me,Phrase,Positive
forklift for rent,Phrase,Positive
rent a forklift,Phrase,Positive
forklift hire,Phrase,Positive
rent forklift,Phrase,Positive
construction forklift rental,Phrase,Positive
industrial forklift rental,Phrase,Positive
forklift rental,Phrase,Positive
-canada,Negative,Negative
-jobs,Negative,Negative
-training,Negative,Negative
-certification,Negative,Negative
-operator,Negative,Negative
-parts,Negative,Negative
-for sale,Negative,Negative
-buy forklift,Negative,Negative
-used forklift,Negative,Negative
-toy,Negative,Negative
-pallet jack,Negative,Negative
-hand truck,Negative,Negative
-hand pallet,Negative,Negative
-manual,Negative,Negative
-attachments only,Negative,Negative
