Campaign,Ad Group,Keyword,Criterion Type,Max CPC
Loader,Loader - General,wheel loader rental,phrase,
Loader,Loader - General,front end loader rental,phrase,
Loader,Loader - General,payloader rental,phrase,
Loader,Loader - General,skid steer rental,phrase,
Loader,Loader - General,compact loader rental,phrase,
Loader,Loader - General,track loader rental,phrase,
Loader,Loader - General,compact track loader,phrase,
Loader,Loader - General,bobcat rental,phrase,
Loader,Loader - General,skid loader rental,phrase,
Loader,Loader - General,loader rental near me,phrase,
Loader,Loader - General,skid steer rental near me,phrase,
Loader,Loader - General,wheel loader rental texas,phrase,
Loader,Loader - General,loader for rent,phrase,
Loader,Loader - General,rent wheel loader,phrase,
Loader,Loader - General,rent skid steer,phrase,
Loader,Loader - General,construction loader rental,phrase,
Loader,Loader - General,farm loader rental,phrase,
Loader,Loader - General,loader rental,phrase,
Loader,,-canada,Negative,
Loader,,-jobs,Negative,
Loader,,-operator,Negative,
Loader,,-attachments only,Negative,
Loader,,-bucket only,Negative,
Loader,,-parts,Negative,
Loader,,-for sale,Negative,
Loader,,-training,Negative,
Loader,,-certification,Negative,
