Campaign,Ad Group,Keyword,Criterion Type,Max CPC
Scissor-Lift,Scissor-Lift - General,scissor lift rental,phrase,
Scissor-Lift,Scissor-Lift - General,rough terrain scissor lift,phrase,
Scissor-Lift,Scissor-Lift - General,electric scissor lift rental,phrase,
Scissor-Lift,Scissor-Lift - General,narrow scissor lift,phrase,
Scissor-Lift,Scissor-Lift - General,indoor scissor lift,phrase,
Scissor-Lift,Scissor-Lift - General,outdoor scissor lift,phrase,
Scissor-Lift,Scissor-Lift - General,tall scissor lift rental,phrase,
Scissor-Lift,Scissor-Lift - General,low scissor lift rental,phrase,
Scissor-Lift,Scissor-Lift - General,20 ft scissor lift,phrase,
Scissor-Lift,Scissor-Lift - General,25 ft scissor lift,phrase,
Scissor-Lift,Scissor-Lift - General,30 ft scissor lift,phrase,
Scissor-Lift,Scissor-Lift - General,scissor lift rental near me,phrase,
Scissor-Lift,Scissor-Lift - General,scissor lift for rent,phrase,
Scissor-Lift,Scissor-Lift - General,rent scissor lift,phrase,
Scissor-Lift,Scissor-Lift - General,scissor lift hire,phrase,
Scissor-Lift,Scissor-Lift - General,scissor lift rental,phrase,
Scissor-Lift,,-canada,Negative,
Scissor-Lift,,-jobs,Negative,
Scissor-Lift,,-training,Negative,
Scissor-Lift,,-certification,Negative,
Scissor-Lift,,-parts,Negative,
Scissor-Lift,,-for sale,Negative,
Scissor-Lift,,-boom lift,Negative,
Scissor-Lift,,-aerial lift,Negative,
Scissor-Lift,,-cherry picker,Negative,
Scissor-Lift,,-operator,Negative,
