Keyword,Match Type,Type
scissor lift rental,Phrase,Positive
rough terrain scissor lift,Phrase,Positive
electric scissor lift rental,Phrase,Positive
narrow scissor lift,Phrase,Positive
indoor scissor lift,Phrase,Positive
outdoor scissor lift,Phrase,Positive
tall scissor lift rental,Phrase,Positive
low scissor lift rental,Phrase,Positive
20 ft scissor lift,Phrase,Positive
25 ft scissor lift,Phrase,Positive
30 ft scissor lift,Phrase,Positive
scissor lift rental near me,Phrase,Positive
scissor lift for rent,Phrase,Positive
rent scissor lift,Phrase,Positive
scissor lift hire,Phrase,Positive
scissor lift rental,Phrase,Positive
-canada,Negative,Negative
-jobs,Negative,Negative
-training,Negative,Negative
-certification,Negative,Negative
-parts,Negative,Negative
-for sale,Negative,Negative
-boom lift,Negative,Negative
-aerial lift,Negative,Negative
-cherry picker,Negative,Negative
-operator,Negative,Negative
