Campaign,Ad Group,Keyword,Criterion Type,Max CPC
Telehandler,Telehandler - General,telehandler rental,phrase,
Telehandler,Telehandler - General,lull rental,phrase,
Telehandler,Telehandler - General,reach forklift rental,phrase,
Telehandler,Telehandler - General,zoom boom rental,phrase,
Telehandler,Telehandler - General,telescopic handler rental,phrase,
Telehandler,Telehandler - General,telehandler forklift rental,phrase,
Telehandler,Telehandler - General,14000 lb telehandler,phrase,
Telehandler,Telehandler - General,14k telehandler rental,phrase,
Telehandler,Telehandler - General,15000 lb telehandler,phrase,
Telehandler,Telehandler - General,15k telehandler rental,phrase,
Telehandler,Telehandler - General,10000 lb telehandler,phrase,
Telehandler,Telehandler - General,44 ft reach forklift,phrase,
Telehandler,Telehandler - General,56 ft telehandler,phrase,
Telehandler,Telehandler - General,high reach forklift,phrase,
Telehandler,Telehandler - General,tall telehandler rental,phrase,
Telehandler,Telehandler - General,telehandler rental texas,phrase,
Telehandler,Telehandler - General,telehandler rental kansas,phrase,
Telehandler,Telehandler - General,telehandler rental near me,phrase,
Telehandler,Telehandler - General,telehandler for rent,phrase,
Telehandler,Telehandler - General,rent telehandler,phrase,
Telehandler,Telehandler - General,telehandler hire,phrase,
Telehandler,Telehandler - General,rent a telehandler,phrase,
Telehandler,Telehandler - General,construction telehandler rental,phrase,
Telehandler,,-canada,Negative,
Telehandler,,-jobs,Negative,
Telehandler,,-operator,Negative,
Telehandler,,-parts,Negative,
Telehandler,,-for sale,Negative,
Telehandler,,-training,Negative,
Telehandler,,-certification,Negative,
Telehandler,,-forklift attachments,Negative,
Telehandler,,-attachments only,Negative,
Telehandler,,-toy,Negative,
