EQUIPMENTSHARE BRANCH DATABASE - SUMMARY
Capture Date: 2026-02-19

OVERVIEW
Website Locations,373
Website States,45
OMS Branches,193
OMS Enabled,0
New Branches to Add (Est.),~180

STATE BY STATE COMPARISON
State,Website Count,OMS Count,Difference
TX,56,27,+29
CA,25,12,+13
FL,23,14,+9
LA,12,7,+5
MO,10,5,+5
WA,10,3,+7
AL,9,4,+5
GA,8,4,+4
AZ,8,3,+5
AR,7,5,+2
CO,7,6,+1
OH,7,3,+4
OK,7,6,+1
OR,7,2,+5
VA,7,6,+1
KS,5,4,+1
NM,5,3,+2
IL,4,2,+2
IN,3,3,0
IA,4,2,+2
KY,3,2,+1
MI,4,3,+1
MN,2,1,+1
MS,2,1,+1
MT,4,2,+2
NV,4,3,+1
NJ,4,3,+1
NY,2,2,0
NC,3,2,+1
ND,3,1,+2
PA,4,2,+2
SC,4,4,0
SD,2,1,+1
TN,4,3,+1
UT,4,3,+1
WY,4,0,+4 (NEW STATE)
WV,2,0,+2 (NEW STATE)
WI,1,1,0
ME,1,0,+1 (NEW STATE)
NE,1,0,+1 (NEW STATE)
CT,1,1,0
DE,2,1,+1
ID,3,1,+2
MA,1,1,0
MD,2,1,+1

KEY FINDINGS
"1. Website has 373 locations vs 193 in OMS - ~180 new branches to add"
"2. ZERO OMS branches currently enabled - major opportunity"
"3. Texas alone has 29 new branches to add (56 website vs 27 OMS)"
"4. 4 new states on website not in OMS: WV, WY, ME, NE"
"5. Top expansion states: TX (+29), CA (+13), FL (+9), WA (+7)"

RECOMMENDATIONS
"1. Enable all 193 existing OMS branches immediately"
"2. Add ~180 new branches from website"
"3. Focus on high-growth states: TX, CA, FL, WA, MO"
"4. Add coverage for new states: West Virginia, Wyoming, Maine, Nebraska"
