Rank,Company,Rentals,GMV,Active Branches (90 Days),OMS/Graham Branches
1,"Sunstate Equipment",119,128787.89,44,69
2,"Equipment Share",39,82072.80,13,74
3,"Herc Rentals",20,46211.38,15,170
4,"Sunbelt Rentals",16,41421.00,11,54
5,"Bobcat Dealers",19,40869.20,10,67
6,"Aerial Plus",35,32102.68,1,1
7,"Equipment Depot",13,29513.00,2,13
8,"GMW Equipment",2,29436.00,1,1
9,"Continental Lift Truck",21,26238.47,1,1
10,"Tejas Equipment Rental",17,23466.25,4,6
11,"Synergy Equipment",10,18214.30,5,16
12,"Lift X Rentals",13,17960.78,1,0
13,"HTX Material Handling",2,17600.00,1,2
14,"Powertrip Rentals",15,15795.20,1,1
15,"Skye Heavy Equipment Rentals",1,15350.00,1,0
16,"Milam Rental LLC",1,15270.00,1,1
17,"Illinois Lift Equipment",12,13091.52,1,0
18,"Discount Forklift",1,12890.00,1,0
19,"Evcon Rentals",4,12534.00,1,0
20,"Industry Lift Inc",5,12218.00,1,0
21,"CONEQ Rentals",11,11523.28,1,1
22,"Dobbs Equipment (John Deere)",1,11400.00,1,2
23,"H&K Equipment Inc",2,11266.00,1,1
24,"Stoney Creek Equipment Rentals",11,10917.50,1,4
25,"NG Equipment Sales",2,9227.71,1,0
26,"All Pro Lift and Equipment LLC",7,9123.17,1,0
27,"Yancey Cat",3,8581.00,3,13
28,"Dashino Excavating",1,8277.20,1,0
29,"Priestly Demolition Inc.",1,7650.00,1,0
30,"Cropac Equipment Inc",1,7590.00,1,0
