Branch Name,Address,City,State,ZIP,Phone,Email,Type
Equipment Share - Catlett VA,4184 Old Calverton Rd,Catlett,VA,20119,571-781-9225,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Seekonk MA,45 Industrial Ct,Seekonk,MA,2771,774-991-8750,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Caddo Mills TX,4047 I-30,Caddo Mills,TX,75135,972-853-6380,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Houston (Tomball) TX,22311 Hufsmith - Kohrville Rd,Tomball,TX,77375,832-271-7778,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Virginia Beach VA,740 S Military Hwy,Virginia Beach,VA,23464,757-612-4450,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Fort Pierce FL,15701 Orange Ave,Fort Pierce,FL,34945,772-710-1600,,Rental House/Dealer
Equipment Share - Spokane WA,4009 E Francis Ave,Spokane,WA,99217,509-309-6510,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Milwaukee WI,11721 W Carmen Ave,Milwaukee,WI,53225,414-930-3910,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Charleston SC,10179 US-78,Ladson,SC,29456,843-410-7717,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Perry GA,204 Valley Dr,Perry,GA,31069,478-313-7200,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Port Charlotte FL,19500 Peachland Blvd,Port Charlotte,FL,33948,941-267-8990,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Oklahoma City OK,1535 SE 25th St,Oklahoma City,OK,73129,405-310-8700,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Odessa TX,16611 W Basin St,Odessa,TX,79763,432-280-0055,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Anderson SC,109 Ryder Ln,Anderson,SC,29625,864-533-8643,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Austin (Hutto) TX,1251 Co Rd 118,Hutto,TX,78634,512-851-1055,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - San Antonio TX,5433 Randolph Blvd,San Antonio,TX,78233,830-201-3334,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Tucson AZ,5401 S Arcadia Ave,Tucson,AZ,85706,520-307-1435,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Fort Worth (South) TX,16615 US-377,Fort Worth,TX,76126,682-540-5013,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Tampa FL,1504 Tampa East Boulevard,Tampa,FL,33619,813-341-4646,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Louisville KY,9012 Vista Hills Blvd,Louisville,KY,40291,502-888-7501,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Calvert City,277 Cypress Creek Dr,Calvert City,KY,42029,270-816-9536,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Madera CA,23349 Ave 18 1/2,Madera,CA,93638,559-317-9678,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Palmetto FL,11504 31st Terrace E,Palmetto,FL,34221,407-473-2839,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Colorado Springs CO,1145 S El Paso St,Colorado Springs,CO,80903,720-241-4636,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Baltimore MD,Shannon Dr,Baltimore,MD,21213,443-928-0156,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Indianapolis IN,6901 E 38th St,Indianapolis,IN,46226,463-777-6002,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Seattle WA,13535 68th Ave S,Seattle,WA,98178,206-962-2828,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Irving TX (Formerly Landmark Equipment Rental),1351 S Loop 12,Irving,TX,75060,972-579-9999,a.gutierrez@landmarkeq.com,Rental House/Dealer
Equipment Share - Miami FL,12601 West Okeechobee Road,Hialeah,FL,33018,305-821-2273,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Fort Myers FL,3051 Hanson Street,Fort Myers,FL,33916,813-341-4646,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Wichita KS,3250 N Hydraulic Ave,Wichita,KS,67219,316-838-3346,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Newark CA,6565 Smith Ave,Newark,CA,94560,510-400-5024,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Carlsbad NM,2580 S Canal St,Carlsbad,NM,88220,575-885-5455,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Philadelphia (Camden) NJ,1521 Admiral Wilson Blvd,Pennsauken Township,NJ,8109,609-922-6713,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - El Paso TX,14061 Montana Ave,El Paso,TX,79938,915-260-6662,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Portland OR,17311 NE Halsey St,Portland,OR,97230,971-277-2887,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Albuquerque NM,8301 Broadway Blvd SE,Albuquerque,NM,87105,505-379-0913,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Casper WY,8655 Delta Dr,Casper,WY,82604,307-248-3804,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Centennial (Denver) CO,15427 E Fremont Dr,Englewood,CO,80112,720-414-2044,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Richmond VA,1800 Ruffin Mill Cir,Colonial Heights,VA,23834,804-835-2062,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - San Diego CA,2590 Main St,Chula Vista,CA,91911,619-510-6825,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Fort Lupton CO,15549 State Hwy 52,Fort Lupton,CO,80621,303-718-0642,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Nashville TN,4235 Murfreesboro Pike,La Vergne,TN,37086,615-933-8118,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Sacramento CA,7400 14th Ave,Sacramento,CA,95820,916-333-7833,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Columbus OH,1605 Thrailkill Rd,Grove City,OH,43123,614-600-8981,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Phoenix AZ,2035 W Mountain View Rd,Phoenix,AZ,85021,480-463-4999,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Reno NV,3223 Mill St,Reno,NV,89502,775-525-4572,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Pasco WA,1125 E Spokane St,Pasco,WA,99301,509-380-6044,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Las Vegas NV,412 E Gowan Rd,North Las Vegas,NV,89032,725-221-0051,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Salt Lake City UT,295 S Redwood Rd,North Salt Lake,UT,84054,801-893-6388,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Garden City (Boise) ID,4665 W Chinden Blvd,Boise,ID,83714,208-781-1404,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Memphis TN,4033 Lamar Ave,Memphis,TN,38118,662-352-8588,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Springfield MO,7096 W Carnahan St,Springfield,MO,65802,417-708-4400,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Alabaster (Birmingham) AL,1959 Fulton Springs Rd,Alabaster,AL,35007,205-730-0770,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Savannah GA,145 Thunderbird Dr,Richmond Hill,GA,31324,912-525-2505,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Springdale AR,1951 Electric Ave,Springdale,AR,72764,479-316-2212,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Little Rock AR,4726 Thibault Rd,Little Rock,AR,72206,501-490-9974,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Pine Bluff (Whitehall) AR,6514 W Barraque St,White Hall,AR,71602,870-550-9223,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Jacksonville FL,11250 Business Park Blvd,Jacksonville,FL,32256,904-574-5151,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Tulsa OK,1703 N 161st E Ave,Tulsa,OK,74116,918-921-1800,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Atlanta (Conyers) GA,1890 Dogwood Dr SE,Conyers,GA,30013,678-971-2022,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Chattanooga TN,4840 Geminus Dr,Chattanooga,TN,37416,423-497-1122,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Weldon Spring (St Louis) MO,801 Westwood Industrial Park Dr,Weldon Spring,MO,63304,636-481-0033,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Kansas City MO,7201 E Front St,KCMO,MO,64120,816-216-6550,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Monroe LA,7600 US-165,Monroe,LA,71203,318-302-8788,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Sanford FL,3219 S Orlando Dr,Sanford,FL,32773,321-270-7272,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Shreveport LA,5620 N Industry Rd,Shreveport,LA,71107,318-588-8688,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Tyler TX,1761 S Tyler St,Gladewater,TX,75647,903-421-3931,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Lake Charles LA,2919 E Napoleon St,Sulphur,LA,70663,337-516-2020,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Grand Prairie (Dallas) TX,3205 Roy Orr Blvd,Grand Prairie,TX,75050,972-737-1919,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Pasadena TX,5826 Red Bluff Rd,Pasadena,TX,77505,281-819-3313,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - New Orleans LA,2450 Destrehan Ave,Harvey,LA,70058,504-330-3208,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Ft Worth (Keller) TX,1675 S Main St,Keller,TX,76248,817-717-7616,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Baton Rouge LA,2555 E Hwy 30,St Gabriel,LA,70776,225-713-3223,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Beaumont TX,10097 US-90,Beaumont,TX,77713,409-209-4004,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Houston Southwest TX,6811 McHard Rd,Houston,TX,77053,346-435-2899,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Victoria TX,1809 John Stockbauer Dr,Victoria,TX,77901,361-333-5560,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Midland TX,2323 E County Rd 123,Midland,TX,79706,432-217-5789,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Corpus Christi TX,5530 Transport Industrial Dr,Corpus Christi,TX,78405,361-520-4445,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Joplin MO,5430 State Hwy 43,Joplin,MO,64804,417-781-8222,eddie.parsons@equipmentshare.com,Rental House/Dealer
Equipment Share - Olive Branch MS,7400 Craft-Goodman Rd,Olive Branch,MS,38654,662-352-8588,eddie.parsons@equipmentshare.com,Rental House/Dealer
